filename;label;indv;ori_label
HM_HMB_R11_AUDIO_file_4_(2017_08_23-06_44_59)_ASWMUX221163_wav___1_10_56_215.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_4_(2017_08_23-06_44_59)_ASWMUX221163_wav___1_12_04_643.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_4_(2017_08_23-06_44_59)_ASWMUX221163_wav___1_12_15_132.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_4_(2017_08_23-06_44_59)_ASWMUX221163_wav___1_12_15_427.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_4_(2017_08_23-06_44_59)_ASWMUX221163_wav___1_12_39_271.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_4_(2017_08_23-06_44_59)_ASWMUX221163_wav___1_13_17_280.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_4_(2017_08_23-06_44_59)_ASWMUX221163_wav___1_13_45_675.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_4_(2017_08_23-06_44_59)_ASWMUX221163_wav___1_23_38_212.wav;agg;HMB;AGG
HM_HMB_R11_AUDIO_file_4_(2017_08_23-06_44_59)_ASWMUX221163_wav___1_23_40_769.wav;agg;HMB;AGG
HM_HMB_R11_AUDIO_file_4_(2017_08_23-06_44_59)_ASWMUX221163_wav___1_23_40_997.wav;agg;HMB;AGG
HM_HMB_R11_AUDIO_file_4_(2017_08_23-06_44_59)_ASWMUX221163_wav___1_45_05_576.wav;sn;HMB;SN
HM_HMB_R11_AUDIO_file_4_(2017_08_23-06_44_59)_ASWMUX221163_wav___1_45_23_618.wav;agg;HMB;AGG
HM_HMB_R11_AUDIO_file_4_(2017_08_23-06_44_59)_ASWMUX221163_wav___1_58_34_528.wav;agg;HMB;AGG
HM_HMB_R11_AUDIO_file_4_(2017_08_23-06_44_59)_ASWMUX221163_wav___1_59_39_443.wav;agg;HMB;AGG
HM_HMB_R11_AUDIO_file_4_(2017_08_23-06_44_59)_ASWMUX221163_wav___1_59_46_559.wav;agg;HMB;AGG
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_03_48_800.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_03_48_921.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_03_49_044.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_03_52_382.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_07_833.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_13_909.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_16_169.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_16_745.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_18_143.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_18_441.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_18_955.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_19_783.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_29_144.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_29_595.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_29_960.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_30_347.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_30_745.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_31_148.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_31_535.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_31_890.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_32_133.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_32_412.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_33_394.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_33_740.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_33_843.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_34_595.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_35_160.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_36_027.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_36_502.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_36_957.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_37_377.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_37_763.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_38_231.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_38_973.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_39_358.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_39_690.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_40_411.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_40_836.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_41_200.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_41_531.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_41_937.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_42_221.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_42_583.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_43_429.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_43_850.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_44_283.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_45_249.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_47_474.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_48_952.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_52_385.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_53_794.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_54_941.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_56_271.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_57_744.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_58_240.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_58_864.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_00_344.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_02_749.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_04_169.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_04_679.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_05_918.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_06_504.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_06_925.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_07_384.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_08_616.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_09_563.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_10_803.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_12_088.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_12_501.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_15_184.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_15_597.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_16_154.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_17_033.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_18_062.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_19_550.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_20_565.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_21_482.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_23_372.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_25_095.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_28_378.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_28_875.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_29_542.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_29_954.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_31_406.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_31_825.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_32_763.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_33_949.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_35_486.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_36_520.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_37_023.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_37_978.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_39_639.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_40_006.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_40_340.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_40_741.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_41_131.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_41_532.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_41_831.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_42_340.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_42_978.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_44_103.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_45_544.wav;al;HMB;ALARM
