;filename;label;indv;ori_label
26;HM_HMB_R11_AUDIO_file_4_(2017_08_23-06_44_59)_ASWMUX221163_wav___1_10_56_215.wav;al;HMB;ALARM
27;HM_HMB_R11_AUDIO_file_4_(2017_08_23-06_44_59)_ASWMUX221163_wav___1_12_04_643.wav;al;HMB;ALARM
28;HM_HMB_R11_AUDIO_file_4_(2017_08_23-06_44_59)_ASWMUX221163_wav___1_12_15_132.wav;al;HMB;ALARM
29;HM_HMB_R11_AUDIO_file_4_(2017_08_23-06_44_59)_ASWMUX221163_wav___1_12_15_427.wav;al;HMB;ALARM
30;HM_HMB_R11_AUDIO_file_4_(2017_08_23-06_44_59)_ASWMUX221163_wav___1_12_39_271.wav;al;HMB;ALARM
31;HM_HMB_R11_AUDIO_file_4_(2017_08_23-06_44_59)_ASWMUX221163_wav___1_13_17_280.wav;al;HMB;ALARM
32;HM_HMB_R11_AUDIO_file_4_(2017_08_23-06_44_59)_ASWMUX221163_wav___1_13_45_675.wav;al;HMB;ALARM
93;HM_HMB_R11_AUDIO_file_4_(2017_08_23-06_44_59)_ASWMUX221163_wav___1_23_38_212.wav;agg;HMB;AGG
94;HM_HMB_R11_AUDIO_file_4_(2017_08_23-06_44_59)_ASWMUX221163_wav___1_23_40_769.wav;agg;HMB;AGG
95;HM_HMB_R11_AUDIO_file_4_(2017_08_23-06_44_59)_ASWMUX221163_wav___1_23_40_997.wav;agg;HMB;AGG
151;HM_HMB_R11_AUDIO_file_4_(2017_08_23-06_44_59)_ASWMUX221163_wav___1_45_05_576.wav;sn;HMB;SN
152;HM_HMB_R11_AUDIO_file_4_(2017_08_23-06_44_59)_ASWMUX221163_wav___1_45_23_618.wav;agg;HMB;AGG
189;HM_HMB_R11_AUDIO_file_4_(2017_08_23-06_44_59)_ASWMUX221163_wav___1_58_34_528.wav;agg;HMB;AGG
201;HM_HMB_R11_AUDIO_file_4_(2017_08_23-06_44_59)_ASWMUX221163_wav___1_59_39_443.wav;agg;HMB;AGG
203;HM_HMB_R11_AUDIO_file_4_(2017_08_23-06_44_59)_ASWMUX221163_wav___1_59_46_559.wav;agg;HMB;AGG
211;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_03_48_800.wav;al;HMB;ALARM
212;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_03_48_921.wav;al;HMB;ALARM
213;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_03_49_044.wav;al;HMB;ALARM
214;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_03_52_382.wav;al;HMB;ALARM
215;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_07_833.wav;al;HMB;ALARM
216;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_13_909.wav;al;HMB;ALARM
217;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_16_169.wav;al;HMB;ALARM
218;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_16_745.wav;al;HMB;ALARM
219;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_18_143.wav;al;HMB;ALARM
220;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_18_441.wav;al;HMB;ALARM
222;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_18_955.wav;al;HMB;ALARM
223;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_19_783.wav;al;HMB;ALARM
224;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_29_144.wav;al;HMB;ALARM
225;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_29_595.wav;al;HMB;ALARM
226;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_29_960.wav;al;HMB;ALARM
227;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_30_347.wav;al;HMB;ALARM
228;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_30_745.wav;al;HMB;ALARM
229;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_31_148.wav;al;HMB;ALARM
230;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_31_535.wav;al;HMB;ALARM
231;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_31_890.wav;al;HMB;ALARM
232;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_32_133.wav;al;HMB;ALARM
233;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_32_412.wav;al;HMB;ALARM
237;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_33_394.wav;al;HMB;ALARM
238;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_04_33_740.wav;al;HMB;ALARM
239;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_33_843.wav;al;HMB;ALARM
240;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_34_595.wav;al;HMB;ALARM
241;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_35_160.wav;al;HMB;ALARM
242;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_36_027.wav;al;HMB;ALARM
243;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_36_502.wav;al;HMB;ALARM
244;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_36_957.wav;al;HMB;ALARM
245;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_37_377.wav;al;HMB;ALARM
246;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_37_763.wav;al;HMB;ALARM
247;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_38_231.wav;al;HMB;ALARM
248;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_38_973.wav;al;HMB;ALARM
